Name,Lat,Lon,Site ID,Type,Priority
CSG-HUPX24,16.49046,107.57188,HUPX24,CSG,1
CSG-HUPX25,16.46085,107.55659,HUPX25,CSG,1
CSG-HUPX28,16.46525,107.56901,HUPX28,CSG,1
CSG-HUPX35,16.475679,107.579793,HUPX35,CSG,1
CSG-HUPX67,16.52375,107.57096,HUPX67,CSG,1
CSG-HUPX72,16.375989,107.564828,HUPX72,CSG,1
CSG-HUPX73,16.45156,107.5304,HUPX73,CSG,1
CSG-HUQD05,16.62839,107.43266,HUQD05,CSG,1
CSG-HUQD06,16.62734,107.51794,HUQD06,CSG,1
CSG-HUQD08,16.55725,107.48646,HUQD08,CSG,1
CSG-HUQD10,16.55901,107.52924,HUQD10,CSG,1
CSG-HUQD14,16.5873,107.5125,HUQD14,CSG,1
CSG-HUQD25,16.62095,107.44789,HUQD25,CSG,1
CSG-HUTH01,16.462433,107.59441,HUTH01,CSG,1
CSG-HUTH01_2,16.41168,107.67333,HUHT01,CSG,1
CSG-HUTH03,16.447813,107.557794,HUTH03,CSG,1
CSG-HUTH05,16.44969,107.60714,HUTH05,CSG,1
CSG-HUTH11,16.460556,107.588222,HUTH11,CSG,1
CSG-HUTH13,16.41803,107.59219,HUTH13,CSG,1
CSG-HUTH14,16.441389,107.588556,HUTH14,CSG,1
CSG-HUTH18,16.44669,107.59563,HUTH18,CSG,1
CSG-HUTH19,16.443067,107.581723,HUTH19,CSG,1
CSG-HUTH1A,16.59592,107.57578,HUTH1A,CSG,1
CSG-HUTH1E,16.54695,107.63797,HUTH1E,CSG,1
CSG-HUTH1E_2,16.54695,107.63797,HUTH1E,CSG,1
CSG-HUTH1F,16.51095,107.60384,HUTH1F,CSG,1
CSG-HUTH1J,16.5376,107.59998,HUTH1J,CSG,1
CSG-HUTH1M,16.484,107.59832,HUTH1M,CSG,1
CSG-HUTH20,16.45221,107.58958,HUTH20,CSG,1
CSG-HUTH24,16.435611,107.565278,HUTH24,CSG,1
CSG-HUTH27,16.45711,107.585419,HUTH27,CSG,1
CSG-HUTH29,16.444861,107.566333,HUTH29,CSG,1
CSG-HUTH2A,16.4562,107.62,HUTH2A,CSG,1
CSG-HUTH2B,16.42066,107.58053,HUTH2B,CSG,1
CSG-HUTH2D,16.476389,107.60625,HUTH2D,CSG,1
CSG-HUTH2E,16.39312,107.60934,HUTH2E,CSG,1
CSG-HUTH2N,16.49246,107.60472,HUTH2N,CSG,1
CSG-HUTH2P,16.56283,107.64217,HUTH2P,CSG,1
CSG-HUTH30,16.476861,107.597694,HUTH30,CSG,1
CSG-HUTH32,16.45543,107.57102,HUTH32,CSG,1
CSG-HUTH33,16.454313,107.605146,HUTH33,CSG,1
CSG-HUTH35,16.44359,107.54018,HUTH35,CSG,1
CSG-HUTH38,16.46218,107.60086,HUTH38,CSG,1
CSG-HUTH40,16.45435,107.59201,HUTH40,CSG,1
