Name,Lat,Lon,SiteID
CSG-HUPV14,16.408720,107.836150,HUPV14
CSG-HUPV27,16.457070,107.680020,HUPV27
CSG-HUPV33,16.391500,107.771630,HUPV33
CSG-HUPV48,16.441950,107.779470,HUPV48
CSG-HUPX03,16.485710,107.547900,HUPX03
CSG-HUPX05,16.484970,107.569010,HUPX05
CSG-HUPX06,16.480230,107.559280,HUPX06
CSG-HUPX07,16.483020,107.586600,HUPX07
CSG-HUPX10,16.486470,107.578740,HUPX10
CSG-HUPX14,16.473230,107.583320,HUPX14
CSG-HUPX17,16.471510,107.555870,HUPX17
CSG-HUPX18,16.491722,107.534770,HUPX18
CSG-HUPX19,16.488139,107.559139,HUPX19
CSG-HUPX21,16.475170,107.561900,HUPX21
CSG-HUPX22,16.473770,107.588110,HUPX22
CSG-HUPX23,16.491191,107.588892,HUPX23
CSG-HUPX24,16.490460,107.571880,HUPX24
CSG-HUPX25,16.460850,107.556590,HUPX25
CSG-HUPX28,16.465250,107.569010,HUPX28
CSG-HUPX35,16.475679,107.579793,HUPX35
CSG-HUPX67,16.523750,107.570960,HUPX67
CSG-HUPX72,16.375989,107.564828,HUPX72
CSG-HUPX73,16.451560,107.530400,HUPX73
CSG-HUQD05,16.628390,107.432660,HUQD05
CSG-HUQD06,16.627340,107.517940,HUQD06
CSG-HUQD08,16.557250,107.486460,HUQD08
CSG-HUQD10,16.559010,107.529240,HUQD10
CSG-HUQD14,16.587300,107.512500,HUQD14
CSG-HUQD25,16.620950,107.447890,HUQD25
CSG-HUTH01,16.462433,107.594410,HUTH01
CSG-HUTH01_2,16.411680,107.673330,HUHT01
CSG-HUTH03,16.447813,107.557794,HUTH03
CSG-HUTH05,16.449690,107.607140,HUTH05
CSG-HUTH11,16.460556,107.588222,HUTH11
CSG-HUTH13,16.418030,107.592190,HUTH13
CSG-HUTH14,16.441389,107.588556,HUTH14
CSG-HUTH18,16.446690,107.595630,HUTH18
CSG-HUTH19,16.443067,107.581723,HUTH19
CSG-HUTH1A,16.595920,107.575780,HUTH1A
CSG-HUTH1E,16.546950,107.637970,HUTH1E
CSG-HUTH1E_2,16.546950,107.637970,HUTH1E
CSG-HUTH1F,16.510950,107.603840,HUTH1F
CSG-HUTH1J,16.537600,107.599980,HUTH1J
CSG-HUTH1M,16.484000,107.598320,HUTH1M
CSG-HUTH20,16.452210,107.589580,HUTH20
CSG-HUTH24,16.435611,107.565278,HUTH24
CSG-HUTH27,16.457110,107.585419,HUTH27
CSG-HUTH29,16.444861,107.566333,HUTH29
CSG-HUTH2A,16.456200,107.620000,HUTH2A
CSG-HUTH2B,16.420660,107.580530,HUTH2B
CSG-HUTH2D,16.476389,107.606250,HUTH2D
CSG-HUTH2E,16.393120,107.609340,HUTH2E
CSG-HUTH2N,16.492460,107.604720,HUTH2N
CSG-HUTH2P,16.562830,107.642170,HUTH2P
CSG-HUTH30,16.476861,107.597694,HUTH30
CSG-HUTH32,16.455430,107.571020,HUTH32
CSG-HUTH33,16.454313,107.605146,HUTH33
CSG-HUTH35,16.443590,107.540180,HUTH35
CSG-HUTH38,16.462180,107.600860,HUTH38
CSG-HUTH40,16.454350,107.592010,HUTH40
CSG-HUTH44,16.438480,107.599220,HUTH44
CSG-HUTH46,16.453820,107.577070,HUTH46
