BS_Name,BS_Lat,BS_Lon,Nearest_Router_Name,Nearest_Router_Lat,Nearest_Router_Lon,Router_Type,Router_Priority,Router_Site_ID,Route_Distance_KM,Status
Đăk Lăk#Phòng#PA07,12.68749,108.0519,DLBT09,12.6882169,108.0558705,AGG,1,,0.5287,Success
Đăk Lăk#Phòng#PA08,13.08809,109.3123,PYPY32,13.08665,109.31354,CSG,2,,0.299,Success
Đăk Lăk#Phòng#PC08,12.6994,108.0564,DLBT80,12.69771,108.05727,CSG,2,,0.2374,Success
Đăk Lăk#Phòng#PC04,12.68355,108.0445,DLBT17,12.68789,108.04289,CSG,2,,0.6418,Success
Phú Yên#Phòng#Trại giam Xuân Phước (C10),13.312086,109.042342,PYDX03,13.29687879,109.0647112,CSG,2,,3.4465,Success
Phú Yên#Phòng#Điểm đăng ký sát hạch lái xe (PC08),13.1123,109.2845,PYPY66,13.11446,109.28271,CSG,2,,0.9524,Success
Đăk Lăk#Phòng#Trại tạm giam Buôn Mê Thuột,12.71203,108.0661,DLBT84,12.7104,108.061,CSG,2,,0.7909,Success
Đăk Lăk#Phòng#Cảng hàng không Buôn Mê Thuột,12.664,108.1171,DLBT05,12.657706,108.107314,CSG,2,,3.4296,Success
"Đăk Lăk#Phòng#Cơ sở cai nghiện (X. Tân Tiến, H. Kron Pắc)",12.65602,108.3431,DLKP17,12.662,108.34816,AGG,1,,1.0444,Success
Đăk Lăk#Phòng#Trung tâm huấn luyện PX01,12.67325,108.0336,DLBT72,12.67028,108.027,CSG,2,,0.9904,Success
Khánh Hòa#Phòng#Khánh Sơn,12.0057,108.9494,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
Khánh Hòa#Phòng#Cam Phước Đông,11.94161,109.1131,KHCR47,11.94107001,109.1132701,CSG,2,,0.0541,Success
Ninh Thuận#Phòng#Đông Hải,11.5643,109.0101,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No router in radius
