BS_Name,BS_Lat,BS_Lon,Nearest_Router_Name,Nearest_Router_Lat,Nearest_Router_Lon,Route_Distance_KM,Status
2628-DG041,12.07125,107.743496,N/A,N/A,N/A,N/A,No router in radius
2628-DG042,11.868746,107.978194,N/A,N/A,N/A,N/A,No router in radius
2628-DG043,11.893397,107.968584,N/A,N/A,N/A,N/A,No router in radius
2628-DG044,11.96413,107.966068,N/A,N/A,N/A,N/A,No router in radius
2628-DG045,11.892422,107.936119,N/A,N/A,N/A,N/A,No router in radius
2628-DG046,11.885023,107.91106,N/A,N/A,N/A,N/A,No router in radius
2628-DG047,11.882811,107.862581,N/A,N/A,N/A,N/A,No router in radius
2628-DG048,11.920383,107.758031,N/A,N/A,N/A,N/A,No router in radius
2628-DG049,11.943626,107.772825,N/A,N/A,N/A,N/A,No router in radius
2628-DG050,11.994339,107.688117,CSG-DGGN25,11.99761,107.69206,0.9953,Success
2628-DG051,11.940318,107.40418,N/A,N/A,N/A,N/A,No router in radius
2628-DG052,12.090253,107.477906,CSG-DGTD05,12.103697,107.484538,1.9887000000000001,Success
2628-DG053,12.23783,107.416456,N/A,N/A,N/A,N/A,No router in radius
2628-DG054,12.264225,107.454487,N/A,N/A,N/A,N/A,No router in radius
2628-DG055,12.226202,107.441438,N/A,N/A,N/A,N/A,No router in radius
2628-DG056,12.148228,107.438118,N/A,N/A,N/A,N/A,No router in radius
2628-DG057,12.100278,107.414105,N/A,N/A,N/A,N/A,No router in radius
2628-DG058,12.020519,107.412493,N/A,N/A,N/A,N/A,No router in radius
2628-DG059,12.585033,107.894291,N/A,N/A,N/A,N/A,No router in radius
2628-DG060,12.724085,107.825434,N/A,N/A,N/A,N/A,No router in radius
2628-DG061,12.605686,107.790982,N/A,N/A,N/A,N/A,No router in radius
2628-DG062,12.553936,107.890433,N/A,N/A,N/A,N/A,No router in radius
2628-DG063,12.011742,107.673863,CSG-DGGN08,12.00816,107.666797,1.7732999999999999,Success
2628-DG064,11.995333,107.677329,CSG-DGGN01,11.99045,107.67281,1.0483,Success
2628-DG065,12.219642,107.405727,N/A,N/A,N/A,N/A,No router in radius
2628-DG066,12.282974,107.55759,CSG-DGDS11,12.290252,107.547573,2.2543,Success
2628-DG067,12.066029,107.377516,N/A,N/A,N/A,N/A,No router in radius
2628-DG068,11.847926,107.528835,N/A,N/A,N/A,N/A,No router in radius
2628-DG069,11.925933,107.618665,N/A,N/A,N/A,N/A,No router in radius
2628-DG070,11.873254,107.430886,CSG-DGDL32,11.876657,107.41516,2.9184,Success
2628-DG071,12.064601,107.576,N/A,N/A,N/A,N/A,No router in radius
2628-DG072,12.255334,107.493099,N/A,N/A,N/A,N/A,No router in radius
2628-DG073,12.285683,107.611356,N/A,N/A,N/A,N/A,No router in radius
2628-DG074,12.107607,107.610094,N/A,N/A,N/A,N/A,No router in radius
2628-DG075,12.441817,107.841878,N/A,N/A,N/A,N/A,No router in radius
2628-DG076,11.941773,107.935504,N/A,N/A,N/A,N/A,No router in radius
2628-DG077,12.006069,107.324419,N/A,N/A,N/A,N/A,No router in radius
2628-DG078,12.02677,107.331389,N/A,N/A,N/A,N/A,No router in radius
2628-DG079,12.116195,107.432176,N/A,N/A,N/A,N/A,No router in radius
2628-DG080,12.239854,107.472572,N/A,N/A,N/A,N/A,No router in radius
2628-DG081,12.425182,107.55467,N/A,N/A,N/A,N/A,No router in radius
2628-DG082,11.944618,107.692429,CSG-DGGN22,11.951412,107.702772,1.596,Success
2628-DG083,12.098171,107.572174,N/A,N/A,N/A,N/A,No router in radius
2628-DG084,12.098171,107.572174,N/A,N/A,N/A,N/A,No router in radius
2628-DL001,12.577435,108.575841,N/A,N/A,N/A,N/A,No router in radius
2628-DL002,12.48077,108.0362,N/A,N/A,N/A,N/A,No router in radius
2628-DL003,12.7738,108.4075,CSG-DLKP05,12.76275,108.41395,1.8802,Success
2628-DL004,12.97767,108.2196,N/A,N/A,N/A,N/A,No router in radius
2628-DL005,12.88829,108.25986,N/A,N/A,N/A,N/A,No router in radius
2628-DL006,12.623159,108.479486,N/A,N/A,N/A,N/A,No router in radius
2628-DL007,12.548166,108.667625,N/A,N/A,N/A,N/A,No router in radius
2628-DL008,12.533963,108.690621,N/A,N/A,N/A,N/A,No router in radius
2628-DL009,12.540195,108.735409,N/A,N/A,N/A,N/A,No router in radius
2628-DL010,12.528787,108.764116,N/A,N/A,N/A,N/A,No router in radius
2628-DL011,12.524985,108.81442,N/A,N/A,N/A,N/A,No router in radius
2628-DL012,12.724146,108.100555,CSG-DLBT45,12.722173,108.091853,1.6474000000000002,Success
2628-DL013,13.217142,108.249731,N/A,N/A,N/A,N/A,No router in radius
2628-DL014,12.664443,108.156158,N/A,N/A,N/A,N/A,No router in radius
2628-DL015,12.68445,108.05231,CSG-DLBT09,12.688217,108.055871,0.8642000000000001,Success
2628-DL016,12.71004,108.06719,CSG-DLBT84,12.7104,108.061,0.8096,Success
2628-DL017,12.705363,108.302006,CSG-DLKP25,12.710978,108.289547,2.2118,Success
2628-DL018,12.725306,108.082402,CSG-DLBT11,12.71978,108.07184,1.9039000000000001,Success
2628-DL019,12.686503,108.031242,CSG-DLBT06,12.68236,108.02996,0.5892000000000001,Success
2628-DL020,12.724607,108.372053,N/A,N/A,N/A,N/A,No router in radius
2628-DL021,12.673727,108.036121,CSG-DLBT72,12.67028,108.027,1.2851,Success
2628-DL023,12.666343,108.077138,N/A,N/A,N/A,N/A,No router in radius
2628-DL029,12.65115,108.1047,CSG-DLBT05,12.657706,108.107314,1.1705999999999999,Success
2628-DL030,12.66934,108.0237,CSG-DLBT72,12.67028,108.027,0.7673,Success
2628-DL031,12.87928,108.1682,CSG-DLCG41,12.89177,108.17996,2.3013000000000003,Success
2628-DL032,12.77409,108.1682,N/A,N/A,N/A,N/A,No router in radius
2628-DL034,12.613053,108.114475,CSG-DLCK09,12.607681,108.124574,1.6271,Success
2628-DL035,12.91527,108.5045,N/A,N/A,N/A,N/A,No router in radius
2628-DL036,12.80046,108.5721,N/A,N/A,N/A,N/A,No router in radius
2628-DL037,12.482778,108.021944,N/A,N/A,N/A,N/A,No router in radius
2628-DL038,12.56366,107.9868,N/A,N/A,N/A,N/A,No router in radius
2628-DL040,12.772467,108.377421,N/A,N/A,N/A,N/A,No router in radius
2628-DL041,12.709915,108.311086,CSG-DLKP32,12.70365,108.32346,1.628,Success
2628-DL042,12.724387,108.330788,N/A,N/A,N/A,N/A,No router in radius
2628-DL043,12.75295,108.401,CSG-DLKP05,12.76275,108.41395,2.9784,Success
2628-DL044,12.58267,108.3941,N/A,N/A,N/A,N/A,No router in radius
2628-DL045,12.69707,108.3409,N/A,N/A,N/A,N/A,No router in radius
2628-DL046,12.715451,108.311312,CSG-DLKP32,12.70365,108.32346,2.7505,Success
2628-DL047,12.42406,108.2262,CSG-DLLK04,12.43176,108.20964,3.0406,Success
2628-DL050,12.71855,108.2293,CSG-DLKP01,12.715607,108.241525,1.8479,Success
2628-DL052,12.80546,108.6253,N/A,N/A,N/A,N/A,No router in radius
2628-DL053,12.76921,108.7325,N/A,N/A,N/A,N/A,No router in radius
2628-DL054,12.811634,108.53186,CSG-DLEK03,12.803688,108.540983,1.6191,Success
2628-DL055,12.729749,108.083649,CSG-DLBT11,12.71978,108.07184,2.502,Success
2628-DL056,12.683991,108.003758,CSG-DLBT89,12.683267,108.00995,0.878,Success
2628-DL059,12.69625,108.0494,CSG-DLBT57,12.69416,108.04521,0.6966,Success
2628-DL061,12.429329,108.563059,N/A,N/A,N/A,N/A,No router in radius
2628-DL062,12.624026,107.983419,CSG-DLBT70,12.63359,107.98333,1.2041,Success
2628-DL063,12.644453,108.015063,CSG-DLBT60,12.63974,108.0151,0.7299,Success
2628-DL065,12.397151,108.0597,N/A,N/A,N/A,N/A,No router in radius
2628-DL066,12.450198,108.581807,N/A,N/A,N/A,N/A,No router in radius
2628-DL068,13.198336,107.795441,N/A,N/A,N/A,N/A,No router in radius
2628-DL069,12.835817,108.044364,CSG-DLCG14,12.830697,108.033728,1.479,Success
2628-DL070,12.679673,108.324914,N/A,N/A,N/A,N/A,No router in radius
2628-DL071,12.719034,108.453312,N/A,N/A,N/A,N/A,No router in radius
2628-DL074,13.02005,108.424078,N/A,N/A,N/A,N/A,No router in radius
2628-DL076,12.714906,107.958317,N/A,N/A,N/A,N/A,No router in radius
2628-DL077,12.685074,108.02864,CSG-DLBT06,12.68236,108.02996,0.4288,Success
2628-DL078,12.55982,108.163424,CSG-DLCK11,12.562817,108.169683,1.0651,Success
2628-DL081,12.965805,108.302536,CSG-DLKN14,12.950532,108.306427,2.9172,Success
2628-DL083,12.896712,108.26276,CSG-DLBH15,12.912622,108.260605,2.5079000000000002,Success
2628-DL084,12.99507,108.418079,N/A,N/A,N/A,N/A,No router in radius
2628-DL085,13.106763,108.223223,N/A,N/A,N/A,N/A,No router in radius
2628-DL086,12.868955,108.250606,CSG-DLBH31,12.86139,108.25827,1.7879,Success
2628-DL087,12.704711,108.335892,CSG-DLKP32,12.70365,108.32346,1.765,Success
2628-DL088,12.854024,108.424301,CSG-DLEK10,12.84153,108.43094,1.6861,Success
2628-DL089,12.873912,108.498544,N/A,N/A,N/A,N/A,No router in radius
2628-DL090,12.886414,108.532067,CSG-DLEK02,12.876323,108.519368,2.0417,Success
2628-DL091,12.755739,108.749395,N/A,N/A,N/A,N/A,No router in radius
2628-DL092,12.741624,108.748418,N/A,N/A,N/A,N/A,No router in radius
2628-DL093,12.558669,108.733673,N/A,N/A,N/A,N/A,No router in radius
2628-DL094,12.510275,108.500039,N/A,N/A,N/A,N/A,No router in radius
2628-DL095,12.625375,108.194367,N/A,N/A,N/A,N/A,No router in radius
2628-DL097,12.522308,108.200278,N/A,N/A,N/A,N/A,No router in radius
2628-DL098,12.442579,108.221716,CSG-DLLK04,12.43176,108.20964,1.9613,Success
2628-DL099,12.1834,108.137083,N/A,N/A,N/A,N/A,No router in radius
2628-DL100,12.450905,108.044216,N/A,N/A,N/A,N/A,No router in radius
2628-DL101,12.627468,108.009656,CSG-DLBT04,12.63154,107.998286,2.4501999999999997,Success
2628-DL102,12.652792,108.007887,CSG-DLBT2H,12.64092,107.99681,2.3670999999999998,Success
2628-DL103,12.697379,108.019951,CSG-DLBT22,12.6978,108.02938,1.8003,Success
2628-DL104,12.721636,108.056376,CSG-DLBT44,12.72156,108.04768,1.0329000000000002,Success
2628-DL107,13.22379774,108.2025688,CSG-DLEH21,13.231676,108.18943,1.8514000000000002,Success
2628-DL108,13.20731804,108.2121119,CSG-DLEH18,13.20129,108.21557,0.9309,Success
2628-DL109,13.160248,108.224033,CSG-DLEH08,13.174432,108.218662,1.7822,Success
2628-DL110,12.62079,107.95359,CSG-DLBT18,12.62536,107.9634,1.2150999999999998,Success
2628-DL111,12.680792,108.040801,CSG-DLBT82,12.67953,108.04331,0.6897000000000001,Success
2628-DL112,12.662103,108.253203,N/A,N/A,N/A,N/A,No router in radius
2628-DL113,12.668594,108.315326,N/A,N/A,N/A,N/A,No router in radius
2628-DL114,12.635024,108.454223,N/A,N/A,N/A,N/A,No router in radius
