Tuyến cáp,lat1,lon1,lat2,lon2,Desc
Gia Lai#CAX#Ia Tôr-GLCR23,13.737223,107.953534,13.791677,108.001437,GLCR23-GLCR11
Gia Lai#CAX#Ia Tôr-GLCR34,13.737223,107.953534,13.757243,107.87896,GLCR34-GLCR11
Gia Lai#CAX#Ia Tôr-GLCU12,13.737223,107.953534,13.59004,107.95822,GLCU12-GLCR11
Gia Lai#TTCMKV#Chư Sê-Gia Lai#TTCMKV#TT2 Gia Lai,13.69211,108.0804,13.97629,107.9924,GLPK65-GLCS33
Gia Lai#TTCMKV#Chư Sê-Gia Lai#CAX#Ia Tôr,13.69211,108.0804,13.737223,107.953534,GLCS33-GLCR11
Gia Lai#TTCMKV#Chư Sê-GLCS17,13.69211,108.0804,13.579162,108.228008,GLCS17-GLCS33
Gia Lai#TTCMKV#Chư Sê-GLCS28,13.69211,108.0804,13.65337,108.09899,GLCS33-GLCS28
Gia Lai#TTCMKV#Chư Sê-GLCS25,13.69211,108.0804,13.70529,108.09058,GLCS33-GLCS25
Gia Lai#TTCMKV#Chư Sê-GLCS04,13.69211,108.0804,13.69198,108.02816,GLCS33-GLCS04
Gia Lai#CAX#Ia Dom-Gia Lai#CAX#Ia Tôr,13.77478,107.6078,13.737223,107.953534,GLCR11-GLDC07
Gia Lai#CAX#Ia Dom-Gia Lai#TTCMKV#IA Grai,13.77478,107.6078,13.9614,107.8535,GLDC07-GLIG09
Gia Lai#CAX#Ia Dom-GLDC03,13.77478,107.6078,13.79748,107.64458,GLDC03-GLDC07
Gia Lai#CAX#Ia Dom-GLDC03,13.77478,107.6078,13.79748,107.64458,GLDC07-GLDC03
Gia Lai#CAX#Ia Dom-GLIG24,13.77478,107.6078,13.938641,107.481644,GLDC07-GLIG24
Gia Lai#CAX#Đăk Đoa-GLDP07,13.99525,108.1132,13.96895,108.48206,GLDD01-GLDP07
Gia Lai#CAX#Đăk Đoa-Gia Lai#CAX#KDang,13.99525,108.1132,13.99935,108.1742,GLDD01-GLDD03
