Tuyến cáp                    , lat1       , lon1       , lat2       , lon2       , Desc,
QAHA06-QAHA27                ,15.89214,108.32104,15.881811,108.327432," ""05/2023/HĐDV/MOBIFONE-CMC - Cap thue QAHA06-QAHA27 - CSG # 1","83 km"""
QAHA27-QAHA05                ,15.881811,108.327432,15.88142,108.32143," ""05/2023/HĐDV/MOBIFONE-CMC - Cap thue QAHA27-QAHA05 - CSG # 1","4 km"""
QAHA05-QADB06                ,15.88142,108.32143,15.89108,108.29044," ""05/2023/HĐDV/MOBIFONE-CMC - Cap thue QAHA05-QADB06 - CSG # 4","95 km"""
QADB06-QADB46                ,15.89108,108.29044,15.89361,108.24381," ""05/2023/HĐDV/MOBIFONE-CMC - Cap thue QADB06-QADB46 - CSG # 6","2 km"""
QADB46-QAQS25                ,15.89361,108.24381,15.806229,108.317636," ""05/2023/HĐDV/MOBIFONE-CMC - Cap thue QADB46-QAQS25 - CSG # 15","09 km"""
QAQS25-QAQS05                ,15.806229,108.317636,15.78838,108.32133," ""05/2023/HĐDV/MOBIFONE-CMC - Cap thue QAQS25-QAQS05 - CSG # 2","87 km"""
QAQS10-QATB_newsite 2        ,15.73936,108.29134,15.745187,108.359543," ""05/2023/HĐDV/MOBIFONE-CMC - Cap thue QAQS10-QATB_newsite 2 - CSG # 13","78 km"""
QAQS03-QATB_newsite 2        ,15.71113,108.26722,15.745187,108.359543," ""05/2023/HĐDV/MOBIFONE-CMC - Cap thue QAQS03-QATB_newsite 2 - CSG # 15","89 km"""
QAQS22-QAQS19                ,15.66889,108.21185,15.76923,108.32967," ""05/2023/HĐDV/MOBIFONE-CMC - Cap thue QAQS22-QAQS19 - CSG # 18","23 km"""
QAQS19-QATB_newsite 2        ,15.76923,108.32967,15.745187,108.359543," ""05/2023/HĐDV/MOBIFONE-CMC - Cap thue QAQS19-QATB_newsite 2 - CSG # 5","94 km"""
BDQN31-BDQN_newsite1         ,13.751902,109.210256,13.744281,109.209951," ""05/2023/HĐDV/MOBIFONE-CMC - Cap thue BDQN31-BDQN_newsite1 - CSG # 1","37 km"""
BDQN_newsite1-BDQN50         ,13.744281,109.209951,13.76349,109.21756," ""05/2023/HĐDV/MOBIFONE-CMC - Cap thue BDQN_newsite1-BDQN50 - CSG # 2","95 km"""
BDQN50-BDQN52                ,13.76349,109.21756,13.772566,109.244761," ""05/2023/HĐDV/MOBIFONE-CMC - Cap thue BDQN50-BDQN52 - CSG # 3","65 km"""
BDQN52-BDQN39                ,13.772566,109.244761,13.78153,109.228," ""05/2023/HĐDV/MOBIFONE-CMC - Cap thue BDQN52-BDQN39 - CSG # 2","47 km"""
BDQN39-BDQNMA01              ,13.78153,109.228,13.784365,109.214922," ""05/2023/HĐDV/MOBIFONE-CMC - Cap thue BDQN39-BDQNMA01 - CSG # 1","77 km"""
BDQN31-BDQN23                ,13.751902,109.210256,13.760712,109.215399," ""05/2023/HĐDV/MOBIFONE-CMC - Cap thue BDQN31-BDQN23 - CSG # 1","1 km"""
BDQN23-BDQN90                ,13.760712,109.215399,13.767781,109.223002," ""05/2023/HĐDV/MOBIFONE-CMC - Cap thue BDQN23-BDQN90 - CSG # 1","69 km"""
BDQN90-BDQN91                ,13.767781,109.223002,13.77927,109.23581," ""05/2023/HĐDV/MOBIFONE-CMC - Cap thue BDQN90-BDQN91 - CSG # 2","3 km"""
BDQN91-BDQNMA01              ,13.77927,109.23581,13.784365,109.214922," ""05/2023/HĐDV/MOBIFONE-CMC - Cap thue BDQN91-BDQNMA01 - CSG # 2","75 km"""
