Name,lat1,lon1,lat2,lon2,Desc
Vụ Bổn-DLKP38,12.6589,108.4328,12.5817425,108.4300584,FO DT#MBF#DLKP06-DLKP38
DLKP11-Vụ Bổn,12.69252,108.38369,12.6589,108.4328,FO DT#MBF#DLKP11-DLKP06
Ea Kar-DLEK34,12.81206,108.4837,12.75627,108.51017,FO DT#MBF#DLEK01-DLEK34
DLEK34-Ea Păl,12.75627,108.51017,12.7257,108.5551,FO DT#MBF#DLEK34-DLEK04
DLEK30-Ea Păl,12.6403801,108.5144039,12.7257,108.5551,FO DT#MBF#DLEK30-DLEK04
TT1 Đăk Lăk-Ea Knuếc,12.6843,108.0528,12.70389,108.1564,FO DT#MBF#DLBT09-DLKP03
Ea Knuếc-DLKP14,12.70389,108.1564,12.702408,108.197138,FO DT#MBF#DLKP03-DLKP14
DLCK03-Cư Kuin,12.59915,108.160133,12.55998,108.1639,FO DT#MBF#DLCK03-DLCK11
"Cơ sở cai nghiện (X. Tân Tiến, H. Kron Pắc)-DLKP32",12.65602,108.3431,12.70365,108.32346,FO DT#MBF#DLKP17-DLKP32
DLBT51-PC08,12.69374,108.05976,13.071469,109.275869,FO DT#MBF#DLBT51-DLBT80
DLBH17-Buôn Hồ,12.91985,108.2575,12.916187,108.26651,FO DT#MBF#DLBH17-DLBH15
DLKN49-Dliê Ya,13.12455,108.35996,13.11643,108.3293,FO DT#MBF#DLKN49-DLKN15
DLKN05-KRông Năng,12.98617,108.3397,12.951746,108.34468,FO DT#MBF#DLKN05-DLKN27
Ea Tul-DLCG41,12.9107,108.1902,12.89177,108.17996,FO DT#MBF#DLCG03-DLCG41
DLCG29-Ea Tul,12.92228,108.15975,12.9107,108.1902,FO DT#MBF#DLCG29-DLCG03
DLKA03-Hòa Phú,12.582007,107.934377,12.61763,107.9401,FO DT#MBF#DLKA03-DLBT1T
DLKB35-Pơng Drang,12.95423,108.22635,12.97057,108.2454,FO DT#MBF#DLKB35-DLKB36
Cư Pơng-DLKB13,13.00979,108.1509,12.973813,108.16369,FO DT#MBF#DLKB22-DLKB13
Ea Kar-DLEK31,12.81206,108.4837,12.80491,108.45256,FO DT#MBF#DLEK01-DLEK31
DLEK53-Ea Knốp,12.80813,108.56272,12.80333,108.5412,FO DT#MBF#DLEK53-DLEK03
DLEK35-Ea Knốp,12.78457,108.54173,12.80333,108.5412,FO DT#MBF#DLEK35-DLEK03
DLEK41-Ea Păl,12.747125,108.580095,12.7257,108.5551,FO DT#MBF#DLEK41-DLEK04
DLEK36-Ea Păl,12.70653,108.58205,12.7257,108.5551,FO DT#MBF#DLEK36-DLEK04
DLKP43-Ea Kly,12.784863,108.412868,12.76228,108.4145,FO DT#MBF#DLKP43-DLKP05
DLKP35-Ea Kly,12.7712431,108.3912947,12.76228,108.4145,FO DT#MBF#DLKP35-DLKP05
DLKP40-Ea Kly,12.75757,108.43493,12.76228,108.4145,FO DT#MBF#DLKP40-DLKP05
DLKP20-Ea Kly,12.74335,108.4257,12.76228,108.4145,FO DT#MBF#DLKP20-DLKP05
DLKP10-Ea Phê,12.76683,108.36705,12.72793,108.3632,FO DT#MBF#DLKP10-DLKP37
DLKP61-Ea Phê,12.752233,108.34403,12.72793,108.3632,FO DT#MBF#DLKP61-DLKP37
DLKP49-Vụ Bổn,12.64308,108.43206,12.6589,108.4328,FO DT#MBF#DLKP49-DLKP06
"DLKP54-Cơ sở cai nghiện (X. Tân Tiến, H. Kron Pắc)",12.65106615,108.3756681,12.65602,108.3431,FO DT#MBF#DLKP54-DLKP17
"DLKP50-Cơ sở cai nghiện (X. Tân Tiến, H. Kron Pắc)",12.63735,108.33829,12.65602,108.3431,FO DT#MBF#DLKP50-DLKP17
DLKP15-Ea Knuếc,12.68463,108.14154,12.70389,108.1564,FO DT#MBF#DLKP15-DLKP03
DLKP31-Ea Knuếc,12.695225,108.16629,12.70389,108.1564,FO DT#MBF#DLKP31-DLKP03
DLKP63-Ea Knuếc,12.6996,108.1818,12.70389,108.1564,FO DT#MBF#DLKP63-DLKP03
DLCK06-Cư Kuin,12.553652,108.201457,12.55998,108.1639,FO DT#MBF#DLCK06-DLCK11
Dang Kang-DLKG26,12.57304,108.3352,12.59148,108.32722,FO DT#MBF#DLKG16-DLKG26
DLKG15-Dang Kang,12.552535,108.335333,12.57304,108.3352,FO DT#MBF#DLKG15-DLKG16
DLBT16-PK02,12.703804,108.062996,13.14724,109.2846,FO DT#MBF#DLBT16-DLBT53
DLBT1X-Thành Nhất,12.689068,107.997459,12.68287,108.0158,FO DT#MBF#DLBT1X-DLBT89
DLEH23-Ea Hiao,13.28094,108.29054,13.26653,108.2872,FO DT#MBF#DLEH23-DLEH07
DLEH41-Ea Hiao,13.2623351,108.3022922,13.26653,108.2872,FO DT#MBF#DLEH41-DLEH07
DLBT19-Trung tâm huấn luyện PX01,12.67339,108.031887,12.67325,108.0336,FO DT#MBF#DLBT19-DLBT72
DLBT2P-Ea Kao,12.66226,108.03421,12.66006,108.0303,FO DT#MBF#DLBT2P-DLBT88
